@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
5852,'2020/02/07 22:04:45:273',34,0,62,13,0.434,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5853,'2020/02/07 22:04:45:274',34,0,60,13,0.434,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5854,'2020/02/07 22:04:45:274',34,1,60,13,0.434,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5855,'2020/02/07 22:04:46:238',34,1,60,13,0.965,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5856,'2020/02/07 22:04:46:238',34,1,60,0,0.965,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5857,'2020/02/07 22:04:46:239',34,1,60,0,0.965,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5858,'2020/02/07 22:04:46:239',34,0,60,0,0.965,1.454,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5859,'2020/02/07 22:04:47:349',34,0,60,0,0.965,2.076,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5860,'2020/02/07 22:04:47:350',34,0,60,30,0.965,2.076,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5861,'2020/02/07 22:04:47:350',34,0,61,30,0.965,2.076,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5862,'2020/02/07 22:04:47:350',34,1,61,30,0.965,2.076,-1.352918,2.351425,1.990134,84.124817,0.290656,0.421695
5863,'2020/02/07 22:04:52:202',34,1,61,30,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5864,'2020/02/07 22:04:52:202',34,1,61,0,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5865,'2020/02/07 22:04:52:202',34,1,61,0,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5866,'2020/02/07 22:04:52:203',34,0,61,0,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5867,'2020/02/07 22:04:53:319',34,0,61,18,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5868,'2020/02/07 22:04:53:319',34,0,62,18,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5869,'2020/02/07 22:04:53:319',34,1,62,18,4.853,2.076,-1.59082,2.149354,0.223449,171.095612,0.462943,0.34215
5870,'2020/02/07 22:05:00:006',34,1,62,18,6.687,2.076,1.380021,0.935879,2.92664,18.342693,0.034223,0.905948
